task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha_projected,m_prismatic_projected_correct,alpha_active_du,alpha_active_dv,alpha_active_yaw
libero_drawer,20270818,1,random,8,1,TP-GMM SE(2),True,,1.2165793331805617,0.025803939478307978,True,0.9819616553914667,0.004214596524346404,0.012617350438964916
libero_drawer,20270818,2,random,8,2,TP-GMM additive,True,,1.323898381087929,0.024469881707945708,True,0.9969587793126622,0.006145223324784185,0.0014245051229968143
libero_drawer,20270818,2,random,8,2,TP-GMM SE(2),True,,1.2219518290366977,0.02590224262928154,True,0.9898175896409095,0.007461337012127523,0.004189308053757629
libero_drawer,20260818,10,qualified,15,1,TP-GMM additive,True,,3.626324468990788,0.004017528152332753,True,0.9972024012810249,0.002426802938435523,0.002927460094395294
libero_drawer,20260818,10,qualified,15,1,TP-GMM SE(2),True,,3.319909161189571,0.004638657803493729,True,0.9102685767008872,0.002275211050525211,0.00648599370134457
libero_drawer,20260818,7,random,15,1,TP-GMM additive,True,,3.7134768879041076,0.004800980527466137,True,0.9979506859385257,0.0027988938354229736,0.0018391794064712404
libero_drawer,20260818,7,random,15,1,TP-GMM SE(2),True,,3.915020633954555,0.004763138054811502,True,0.9297858956294758,0.0029208198003325744,0.0028378220276479792
libero_drawer,20260818,12,random,30,0,TP-GMM additive,True,,4.829308434855193,0.003800636825949427,True,0.9981024241693254,0.004391589354460774,0.0014668639187835192
libero_drawer,20260818,12,random,30,0,TP-GMM SE(2),True,,3.18181691900827,0.0036567821562701686,True,0.9858663608285079,0.0045992935856781995,0.005483627697546378
libero_drawer,20260818,8,random,15,2,TP-GMM additive,True,,4.892658514901996,0.004192747801814245,True,0.9962213259224334,0.0031962773805311565,0.003769681277474837
libero_drawer,20260818,8,random,15,2,TP-GMM SE(2),True,,3.3828490269370377,0.004973456514176349,True,0.9326616694810969,0.005854453969194283,0.0047067051230613695
libero_drawer,20270818,5,qualified,8,2,TP-GMM additive,True,,1.5415102210827172,0.023597271001686942,True,0.9971977186288422,0.007938745107377108,0.002572936293346997
libero_drawer,20270818,5,qualified,8,2,TP-GMM SE(2),True,,2.189332279842347,0.024721442466893798,True,0.9804330002410877,0.008229432388669668,0.006291541445613624
libero_drawer,20270818,10,qualified,15,1,TP-GMM additive,True,,1.8189005851745605,0.004017528152332753,True,0.9972024012810249,0.002426802938435523,0.002927460094395294
libero_drawer,20270818,10,qualified,15,1,TP-GMM SE(2),True,,1.6556495351251215,0.004638657803493729,True,0.9102685767008872,0.002275211050525211,0.00648599370134457
libero_drawer,20260818,16,qualified,30,1,TP-GMM additive,True,,5.258495592046529,0.003771164943943665,True,0.9978368291385653,0.002717838611350847,0.0021676664854541777
libero_drawer,20260818,16,qualified,30,1,TP-GMM SE(2),True,,3.184704416897148,0.004367364419994663,True,0.985506322566318,0.0028234500406019566,0.01889366040004859
libero_drawer,20270818,6,random,15,0,TP-GMM additive,True,,2.026775043923408,0.003828381310388117,True,0.9975332260622055,0.007555588609344724,0.0014025122654594538
libero_drawer,20270818,6,random,15,0,TP-GMM SE(2),True,,2.3206841310020536,0.002185201825734752,True,0.9104474415562447,0.0025369336973852415,0.0036704263700443945
libero_drawer,20270818,9,qualified,15,0,TP-GMM additive,True,,2.878638545051217,0.0038039161139890166,True,0.9964703568532407,0.005132374856388373,0.0285735398956719
libero_drawer,20270818,9,qualified,15,0,TP-GMM SE(2),True,,1.681448289891705,0.006143697529239188,True,0.8958295023735185,0.00530508635382168,0.002556969572418628
libero_drawer,20270818,7,random,15,1,TP-GMM additive,True,,2.78835931699723,0.004800980527466137,True,0.9979506859385257,0.0027988938354229736,0.0018391794064712404
libero_drawer,20270818,7,random,15,1,TP-GMM SE(2),True,,2.314934961963445,0.004763138054811502,True,0.9297858956294758,0.0029208198003325744,0.0028378220276479792
libero_drawer,20280818,0,random,8,0,TP-GMM additive,True,,0.9987727249972522,0.024582834290293232,True,0.9966616181564941,0.002604282717344064,0.002270409189610728
libero_drawer,20280818,0,random,8,0,TP-GMM SE(2),True,,0.713544060010463,0.025091241505870953,True,0.9696523993941303,0.002658384914526049,0.006212436398216673
libero_drawer,20270818,8,random,15,2,TP-GMM additive,True,,4.327442266047001,0.004192747801814245,True,0.9962213259224334,0.0031962773805311565,0.003769681277474837
libero_drawer,20270818,8,random,15,2,TP-GMM SE(2),True,,1.9503763190004975,0.004973456514176349,True,0.9326616694810969,0.005854453969194283,0.0047067051230613695
libero_drawer,20280818,3,qualified,8,0,TP-GMM additive,True,,1.1019705291837454,0.02498182026063056,True,0.9954508579689686,0.003172679730750243,0.0026932911907214447
libero_drawer,20280818,3,qualified,8,0,TP-GMM SE(2),True,,0.9628481389954686,0.028728491014376224,True,0.9364649244378298,0.004162664509470156,0.0032995617939696083
libero_drawer,20280818,2,random,8,2,TP-GMM additive,True,,1.3750748701859266,0.024469881707945708,True,0.9969587793126622,0.006145223324784185,0.0014245051229968143
libero_drawer,20280818,2,random,8,2,TP-GMM SE(2),True,,1.2779996620956808,0.02590224262928154,True,0.9898175896409095,0.007461337012127523,0.004189308053757629
libero_drawer,20280818,1,random,8,1,TP-GMM additive,True,,1.5206051408313215,0.025467877077436446,True,0.9948815891931001,0.004047220679078306,0.005118947979009072
libero_drawer,20280818,1,random,8,1,TP-GMM SE(2),True,,1.3880032170563936,0.025803939478307978,True,0.9819616553914667,0.004214596524346404,0.012617350438964916
libero_drawer,20260818,14,random,30,2,TP-GMM additive,True,,6.172791979974136,0.0038297526691495414,True,0.9978658074506069,0.003791176277269118,0.0018562977319656845
libero_drawer,20260818,14,random,30,2,TP-GMM SE(2),True,,6.851455444004387,0.004835371568270041,True,0.9517605931366052,0.004239011556647493,0.020571810536899326
libero_drawer,20280818,4,qualified,8,1,TP-GMM additive,True,,1.062333859037608,0.024484471320973894,True,0.9961953668696788,0.0019250043072189477,0.001591444071028839
libero_drawer,20280818,4,qualified,8,1,TP-GMM SE(2),True,,0.9643298068549484,0.02589003828694627,True,0.9194316181650175,0.0024726283636548373,0.0038505977241280664
libero_drawer,20270818,11,qualified,15,2,TP-GMM additive,True,,3.544726534979418,0.004127472520426,True,0.9979383356226862,0.005046219304919876,0.00493309521486893
